sec,nanosec,frame_id,name0,name1,name2,name3,name4,position0,position1,position2,position3,position4,velocity0,velocity1,velocity2,velocity3,velocity4,effort0,effort1,effort2,effort3,effort4
882,591000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741395563,-1.4408829272790735e-09,0.0034805717137981426,0.08210037617084145,6.277310257391351e-06,-0.10235767745935753,-1.205525488613321e-06,0.0,0.0,0.0,0.0,0.0
882,654000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613665122e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829283652902e-09,0.0034805717137996583,0.08210037617119956,6.2773103934874504e-06,-0.102357677459387,-1.2055254839473262e-06,0.0,0.0,0.0,0.0,0.0
882,672000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741395563,-1.4408829343054533e-09,0.0034805717137137908,0.08210037617089341,6.277310281518895e-06,-0.10235767745902691,-1.2055254912899048e-06,0.0,0.0,0.0,0.0,0.0
882,681000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829253620644e-09,0.0034805717138773826,0.08210037617064149,6.277310398069754e-06,-0.10235767745865657,-1.2055254811073112e-06,0.0,0.0,0.0,0.0,0.0
882,753000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.440882932251153e-09,0.003480571713715622,0.08210037617085426,6.277310287561685e-06,-0.10235767745905226,-1.2055254901648244e-06,0.0,0.0,0.0,0.0,0.0
882,765000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613487486e-05,1.2865331999734053e-07,-0.00010235767741395563,-1.440882919169958e-09,0.003480571713885488,0.08210037617051479,6.277310325192447e-06,-0.10235767745901486,-1.2055254807279404e-06,0.0,0.0,0.0,0.0,0.0
882,774000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741306745,-1.4408829231910821e-09,0.003480571713730834,0.08210037617071717,6.277310354375109e-06,-0.10235767745896296,-1.205525485651976e-06,0.0,0.0,0.0,0.0,0.0
882,787000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741306745,-1.4408829251656539e-09,0.003480571713851054,0.08210037617063899,6.277310371716372e-06,-0.10235767745898394,-1.2055254852638785e-06,0.0,0.0,0.0,0.0,0.0
882,795000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829357215708e-09,0.003480571713787638,0.08210037617056376,6.277310358391592e-06,-0.10235767745907988,-1.2055254893346055e-06,0.0,0.0,0.0,0.0,0.0
882,869000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.440882934097659e-09,0.00348057171385942,0.08210037617067954,6.277310271217874e-06,-0.1023576774597302,-1.2055254882471268e-06,0.0,0.0,0.0,0.0,0.0
